sigma_v_mu,sigma_v_a,sigma_p,sigma_mu,attractor_active,beta,sp_noise_variance
10000.0,1000.0,1,5000.0,0,0.01,0
Iteration,A_Shoulder,A_Elbow,A_dot_Shoulder,A_dot_Elbow,mu_Shoulder,mu_Elbow,sp_Shoulder,sp_Elbow,Ev attr,beta,last_vt,last_tt,cartesian_distance,rubb_Shoulder,rubb_Elbow
110,0.007730666287679925,0.0003173818893378666,0.007589652472233865,0.00032756762379904103,0.007589652472233865,0.00032756762379904103,0.0,0.0,[],0.12676154,31.16971,31.23961,0.0,0.0,0.0
111,0.007883314110440553,0.0003239794370006166,0.00763239113803138,0.00032987738313750015,0.00763239113803138,0.00032987738313750015,0.0,0.0,[],0.12672855,31.16971,31.23961,0.0,0.0,0.0
112,0.00803679213182477,0.00033062212600043495,0.007673901069210842,0.00033213444999091735,0.007673901069210842,0.00033213444999091735,0.0,0.0,[],0.12669425,31.16971,31.23961,0.0,0.0,0.0
113,0.00819107968171011,0.00033730882075133195,0.007714377494266955,0.0003343347375448502,0.007714377494266955,0.0003343347375448502,0.0,0.0,[],0.12665863,31.16971,31.23961,0.0,0.0,0.0
114,0.008346153375605358,0.00034403851468823633,0.007753684694762342,0.0003364846968452184,0.007753684694762342,0.0003364846968452184,0.0,0.0,[],0.12662168,31.16971,31.23961,0.0,0.0,0.0
115,0.00850198588370404,0.0003508096872496935,0.007791625404934166,0.0003385586280728603,0.007791625404934166,0.0003385586280728603,0.0,0.0,[],0.12658335,31.16971,31.23961,0.0,0.0,0.0
116,0.008658554873400138,0.0003576213814699258,0.007828449484804878,0.0003405847110116156,0.007828449484804878,0.0003405847110116156,0.0,0.0,[],0.12654363,31.16971,31.23961,0.0,0.0,0.0
117,0.008815815816487887,0.0003644727171854356,0.00786304715438746,0.0003425667857754888,0.00786304715438746,0.0003425667857754888,0.0,0.0,[],0.12650248,31.16971,31.23961,0.0,0.0,0.0
118,0.008973748448188419,0.0003713627815727705,0.007896631585026626,0.000344503219366743,0.007896631585026626,0.000344503219366743,0.0,0.0,[],0.12645993,31.16971,31.23961,0.0,0.0,0.0
119,0.00913233299055719,0.0003782906728542912,0.007929227118438575,0.00034639456407603575,0.007929227118438575,0.00034639456407603575,0.0,0.0,[],0.1264159,31.16971,31.23961,0.0,0.0,0.0
120,0.0092915501663083,0.0003852555111984657,0.00796085878755548,0.00034824191720872477,0.00796085878755548,0.00034824191720872477,0.0,0.0,[],0.12637036,31.16971,31.23961,0.0,0.0,0.0
121,0.009451381230755944,0.00039225643201461934,0.007991553222382208,0.0003500460408076833,0.007991553222382208,0.0003500460408076833,0.0,0.0,[],0.12632331,31.16971,31.23961,0.0,0.0,0.0
122,0.009611807860746923,0.00039929258889060293,0.008021331499548978,0.00035180784379917895,0.008021331499548978,0.00035180784379917895,0.0,0.0,[],0.12627473,31.16971,31.23961,0.0,0.0,0.0
123,0.009772812405753941,0.0004063631494091169,0.008050227250350872,0.0003535280259256979,0.008050227250350872,0.0003535280259256979,0.0,0.0,[],0.12622459,31.16971,31.23961,0.0,0.0,0.0
124,0.009934377418176156,0.0004134673011662926,0.008078250621110783,0.0003552075878587857,0.008078250621110783,0.0003552075878587857,0.0,0.0,[],0.12617287,31.16971,31.23961,0.0,0.0,0.0
